"ANO","NIVEL","CODMUNRES","TO","TORC","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TONT_B","TONT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC"
2016,"MUNICIPIO","250620",27,0,0,1,26,1,5,6,4,10,14,13,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250625",46,0,0,4,42,0,2,19,4,17,22,24,0,0,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250630",461,0,0,43,418,14,55,152,58,139,268,193,15,0,4,3,1,7,1,0,0,3,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1
2016,"MUNICIPIO","250640",104,0,0,8,96,1,16,40,10,29,51,53,5,0,2,1,1,1,0,0,0,2,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
2016,"MUNICIPIO","250650",27,0,0,1,26,0,2,14,2,8,13,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250660",46,0,0,3,43,2,6,20,1,14,20,26,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250670",60,0,0,10,50,4,5,14,5,22,32,28,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250680",145,0,0,11,134,3,20,38,13,60,79,66,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250690",219,0,0,27,192,9,23,69,38,53,109,110,13,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
2016,"MUNICIPIO","250700",169,0,0,20,149,5,18,33,25,68,92,77,11,0,1,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250710",114,0,0,11,103,3,7,47,12,34,61,53,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250720",61,0,0,2,59,2,7,12,5,33,27,34,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
2016,"MUNICIPIO","250730",106,0,0,13,93,7,8,36,12,30,56,50,4,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250740",58,0,0,5,53,1,7,17,17,11,41,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250750",5278,0,0,651,4627,255,879,1453,661,1379,2768,2510,261,0,79,56,23,47,23,0,0,47,0,10,3,0,0,4,3,7,7,0,0,0,0,0,0
2016,"MUNICIPIO","250760",51,0,0,6,45,5,6,13,5,16,25,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250770",151,0,0,24,127,6,23,36,12,50,85,66,6,0,3,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250780",40,0,0,5,35,1,9,12,7,6,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250790",92,0,0,7,85,2,11,44,9,19,52,40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250800",57,0,0,4,53,3,7,19,6,18,35,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250810",33,0,0,5,28,2,3,9,9,5,18,15,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250820",46,0,0,3,43,2,6,18,6,11,24,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250830",189,0,0,19,170,2,26,49,14,79,98,91,12,0,4,4,0,1,0,0,0,4,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
2016,"MUNICIPIO","250840",23,0,0,2,21,0,3,10,3,5,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250850",37,0,0,5,32,1,10,6,3,12,18,19,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
